videoArchiveName,Platform
Tripod Pulse 74 Solo-4,Tripod Solo
Tripod Pulse 74 Solo-5,Tripod Solo
Tripod Pulse 74 Solo-6,Tripod Solo
Tripod Pulse 74 Solo-7,Tripod Solo
Tripod Pulse 74 Solo-8,Tripod Solo
Tripod Pulse 75 Far Field Dual-1,Tripod Dual
Tripod Pulse 75 Far Field Dual-2,Tripod Dual
Tripod Pulse 75 Far Field Dual-3,Tripod Dual
Tripod Pulse 75 Far Field Dual-4,Tripod Dual
Tripod Pulse 75 Far Field Dual-5,Tripod Dual
Tripod Pulse 75 Far Field Dual-6,Tripod Dual
Tripod Pulse 75 Near Field Dual-1,Tripod Dual
Tripod Pulse 75 Near Field Dual-2,Tripod Dual
CameraSled 803,Camera sled
Rover_transit_Pulse_58_Ken,Rover
Rover_transit_Pulse_59_Ken,Rover
Rover_transit_Pulse_60_Ken,Rover
Rover_transit_Pulse_71,Rover
Rover_transit_Pulse_72,Rover
MacroCam_MARS_Sept_2021,Macro Cam
PAP-JC062-119,
PAP-JC071-043,
S0055-01-tripod,
S6510-01-tripod,
SES Calibration Oct 2015,
Stereo-200m,
T17021-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T2231-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T22311-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T26121-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7021-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70211-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70212011-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7022-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70221-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7023-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70231-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7024-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T70241-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
T7107-01-tripod"I think these could be empty folders rom the upload process. Even if there are still images in here, it's okay to delete if there are no annotations. Then later I'll check the ported version to see if anything needs to be re-added",
