videoArchiveName,General Location,Deployment ID,Camera  type,Platform,Camera orientation,Depth,"Lat ",Long,Notes,,
Rover Transit Pulse 58,Station M,Pulse 58,Digital,Rover,transit,,,,,,
Grid Pulse 59,Station M,Pulse 59,Digital,Tripod Dual,Far field,,35.12086667,-122.9921667,,,
Tripod Pulse 59,Station M,Pulse 59,Digital,Tripod Dual,Far field,,35.12086667,-122.9921667,,,
Rover Chamber Pulse 59,Station M,Pulse 59,Digital,Rover,chamber,,,,,,
Rover fluoro Pulse 59,Station M,Pulse 59,Digital,Rover,fluorescence,,,,,,
Rover Transit Pulse 59,Station M,Pulse 59,Digital,Rover,transit,,,,,,
Grid Pulse 60,Station M,Pulse 60,Digital,Tripod Dual,Far field,,35.1304,-122.996305,,,
Tripod Pulse 60,Station M,Pulse 60,Digital,Tripod Dual,Far field,,35.1304,-122.996305,,,
Rover Chamber Pulse 60,Station M,Pulse 60,Digital,Rover,chamber,,,,,,
Rover fluoro Pulse 60,Station M,Pulse 60,Digital,Rover,fluorescence,,,,,,
Rover Transit Pulse 60,Station M,Pulse 60,Digital,Rover,transit,,,,,,
SES Pulse 60,Station M,Pulse 60,Digital,SES,Slide,,35.16017667,-122.935325,,,
Rover Chamber Pulse 61,Station M,Pulse 61,Digital,Rover,chamber,,,,,,
Rover fluoro Pulse 61,Station M,Pulse 61,Digital,Rover,fluorescence,,,,,,
Rover Transit Pulse 61,Station M,Pulse 61,Digital,Rover,transit,,,,,,
Rover Transit Pulse 61 good,Station M,Pulse 61,Digital,Rover,transit,,,,,,
SES Pulse 61,Station M,Pulse 61,Digital,SES,Slide,,35.158505,-122.9840933,,,
Rover fluoro Pulse 62,Station M,Pulse 62,Digital,Rover,fluorescence,,,,,,
Tripod Pulse 62-1,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 62-1 June 2013,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 62-2 Jul 2013,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 62-3 Aug 2013,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 62-4 Sep 2013,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 62-5 Oct 2013,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 62-6 Nov 2013,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 62-7 Dec 2013,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 62-8 Jan 2014,Station M,Pulse 62,Digital,Tripod Solo,Far field,,,,,,
Tripod Pulse 63,Station M,Pulse 63,Digital,Tripod Solo,Far field,,,,,,
Rover fluoro Pulse 64,Station M,Pulse 64,Digital,Rover,fluorescence,,,,,,
Rover Transit Pulse 64,Station M,Pulse 64,Digital,Rover,transit,,,,,,
SES Pulse 64,Station M,Pulse 64,Digital,SES,Slide,,35.1585,-122.9838333,,,
Tripod Pulse 64-1,Station M,Pulse 64,Digital,Tripod Solo,Far field,,,,,,
